rank;nombre;patrimonio;sector;empresa;comunidad
117;Javier Ormazabal Echevarr°a y familia;420;Industria;Velatia;Pa°s Vasco
118;Alejandro Aznar Sainz y familia;420;Transporte, Vino;Naviera Ibaizabal, MarquÇs de Riscal;Pa°s Vasco
119;JosÇ Antonio Castro Sousa y familia;420;Turismo;Hesperia, Construcciones JosÇ Castro Sousa;Galicia
120;Jordi Miarnau Montserrat y hermanos;410;Construcci¢n;Comsa, Iosa Inmuebles;Catalu§a
121;Alfonso Sol†ns Sol†ns;400;Industria, inmuebles;Pikolin, GrupoIberebro;Arag¢n
122;JosÇ Luis Carrillo Rodr°guez y familia;400;Industria;Mecalux;Catalu§a
123;Hermanos Ferrero Jordi;400;Alimentaci¢n;Idilia Foods;Catalu§a
124;Carlos Delclaux Zulueta y familia;390;Industria;Vidrala;Pa°s Vasco
125;Josep Palau Mallol y hermanos;380;Industria;Soler & Palau;Catalu§a
126;Ram¢n Miquel Ballart y familia;380;Inmuebles;ex Grup Miquel Alimentaci¢;Catalu§a
127;Familia Oriol;380;Industria, Transporte;Talgo;Madrid
128;Familia Vivancos Mu§oz;370;Inmuebles, Pl†stico;ex Mivisa, Tefim;Murcia
129;Manuel A§¢n Rey;370;Industria, Metalurgia;Hierros A§¢n;Galicia
130;V°ctor Madera Mu§oz;360;Salud;Fresenius, IDC Salud;Asturias
131;Federico Michavila Heras y familia;360;Construcci¢n, Cer†mica;Torrecid;C. Valenciana
132;Familia Sunyer;360;Finanzas, Seguros;Ges Seguros y Reaseguros SA, Nacional de Reaseguros;Madrid
133;Albert Costafreda Jo y hermanos;360;Alimentaci¢n, Inmuebles;ex Panrico, Universal Panader°a y Boller°a (UPB);Catalu§a
134;Javier Juncadella Salisachs y familia;350;Finanzas, Seguros;Grupo Catalana Occidente;Catalu§a
135;µngel Soria Vaquerizo;350;Inmuebles;Torre Rioja Madrid;Madrid
136;Juan Miguel Sanju†n y Jover;350;Construcci¢n, Contratas, Turismo;Grupo Satoc†n, Sacyr;Canarias
137;Familia Santos Tejedor;350;Inmuebles, Hoteles;Hoteles Santos, Promur;Madrid
138;Familia Botet;350;Inmuebles;Grup Caboel;Catalu§a
139;Familia Carb¢;350;Inmuebles;Grup Caboel;Catalu§a
140;Pedro Alonso AgÅera;350;Industria, Automoci¢n;ex Infun, AM Gesti¢;Catalu§a
141;Familia PÇrez-Maura Garc°a-Bot°n;350;Transporte, Log°stica, Puertos;Naviera A. PÇrez y C°a;Cantabria
142;Familia Serra;350;Industria;Fluidra;Catalu§a
143;Familia Sim¢n;340;Industria, Iluminaci¢n;Simon holding;Catalu§a
144;Francesc Rubiralta Rubi¢;340;Industria, Metalurgia;Celsa Group;Catalu§a
145;Familia Fern†ndez Fermoselle;340;Inmuebles;Naropa Capital;Madrid
146;Alfonso Gallardo D°az;340;Industria, Metalurgia;Grupo Alfonso Gallardo;Extremadura
147;Tom†s Pascual G¢mez-CuÇtara y familia;340;Alimentaci¢n, Inmuebles;Grupo Pascual;Castilla y Le¢n
148;JosÇ Domingo Rodr°guez Losada;340;Inmuebles;Azata Patrimonio;Madrid
149;Familia Martinavarro;330;Alimentaci¢n;Martinavarro;C. Valenciana
150;Josep Terradellas Arcarons;330;Alimentaci¢n, C†rnica;Casa Tarradellas;Catalu§a
151;Daniel Bravo Andreu;320;Salud;Almirall;Catalu§a
152;Familias Uc°n Aramendi y Guibert;320;Industria, Log°stica, Vino;Calpenor, Bodegas Olarra;Pa°s Vasco
153;Familia Carri¢n C†ceres;320;Transporte;Transportes J. Carri¢n;Andaluc°a
154;Enrique D°az-Tejeiro GutiÇrrez y familia;320;Energ°a, Inmuebles;Solaria;Madrid
155;Familia Loriente Piqueras;320;Alimentaci¢n, C†rnica;Incarlopsa;Castilla-La Mancha
156;Familia De AndrÇs Puyol;320;Inmuebles;Medcap Real Estate;C. Valenciana
157;Familia Lladr¢;320;Moda, Cer†mica;ex Lladr¢;C. Valenciana
158;Familia Biosca Carbonell;320;Industria, Transporte, Energ°a;Disa Corporaci¢n;Madrid
159;Eugenio Gald¢n Brugarolas;310;Telecomunicaciones, Energ°a;ex Ono, Grupo Multitel;Murcia
160;Familia Ega§a Garitagoitia;310;Vino, Alimentaci¢n;Bar¢n de Ley;Castilla y Le¢n
161;Eduardo Santos-Ruiz D°az;310;Industria, Automoci¢n;Cie Automotive;Pa°s Vasco
162;JosÇ Mar°a Losantos del Campo;310;Inmuebles;Neinver;La Rioja
163;Miguel Gallego Jurado y familia;310;Alimentaci¢n;Migasa, Aceites Ybarra;Andaluc°a
164;Hermanos Juan;300;Alimentaci¢n;Dulcesol;C. Valenciana
165;Wolfgang Kiessling;290;Turismo;Loro Parque;Canarias
166;Hermanos Pascual S†nchez-Gij¢n;290;Salud, Hospitales;Cl°nica San Rafael;Andaluc°a
167;Josep Ferrer i Sala y familia;290;Alimentaci¢n, Vino;Freixenet;Catalu§a
168;Miguel Torres Riera y familia;290;Vino, Alimentaci¢n;Bodegas Torres;Catalu§a
169;JosÇ Ram¢n Beca Borrego y hermanos;290;Inmuebles;Bekinsa;Andaluc°a
170;JosÇ Silveira Ca§izares;290;Transporte, Sanidad;Grupo Nosa Terra 21, Naviera Elcano;Galicia
171;Familia Alvargonz†lez Figaredo;290;Transporte, Log°stica, Puertos;Alvargonz†lez, Ership;Asturias
172;Sabino Garc°a Vallina;290;Industria;TSK Ingenier°a;Asturias
173;Pilar Muro Navarro e hijas;290;Salud;ex Quir¢n, Philyra;Arag¢n
174;Ricardo Urgell Mart° y familia;280;Turismo;ex Pach†;Catalu§a
175;Familia Lantero;280;Industria, Embalaje;Grupo Lantero;Madrid
176;Familias Martos y Cotoner;280;Inmuebles;Valcerrada de Inversiones, Marz†bal;Madrid
177;Ricardo Leal CordobÇs;280;Moda, Energ°a, Finanzas;Cristian Lay;Extremadura
178;CÇsar µlvarez µlvarez;280;Distribuci¢n, Construcci¢n;El Corte InglÇs, ACS;Asturias
179;Sergio Ferrer-Salat Serra Di Migni y familia;280;Salud, Laboratorios, Agricultura;Laboratorios Ferrer;Catalu§a
180;Familia Serna Lorente;270;Inmuebles, Construcci¢n, Vino;Torreblanca del Mediterr†neo;C. Valenciana
181;Emilio Restoy y familia;270;Alimentaci¢n, Bebidas;Zamora Company, Ram¢n Bilbao;Murcia
182;Josep Mar°a 'Tatxo' Benet Ferran;260;Comunicaci¢n;Imagina, Mediapro;Catalu§a
183;Familia GallÇs Gabarr¢;260;Alimentaci¢n;Europastry;Catalu§a
184;Familia Rivera;260;Alimentaci¢n, Bebidas;Estrella Galicia;Galicia
185;Familia Corsini Mu§oz;260;Inmuebles;ex Cors†n;Madrid
186;Familia Gonz†lez-Gordon;260;Vino, Alimentaci¢n;Gonz†lez Byass, T°o Pepe;Andaluc°a
187;Rafael Gonz†lez-Vallinas;250;Energ°a;Grupo Vapat;Castilla y Le¢n
188;Familia Salegui;250;Industria, Automoci¢n;Cie Automotive, Vidrala;Pa°s Vasco
189;Familia Mart°nez Ruiz;240;Alimentaci¢n;PanStar, Panamar;Cantabria
190;Gerard Romy Belilos;240;Comunicaci¢n;Imagina, Mediapro;Catalu§a
191;Familia Vall Pla;240;Alimentaci¢n;Harinera Vilafranquina, Piensos del Segre;Catalu§a
192;Miguel µngel Gil Mar°n y familia;240;Deportes, Inmuebles;AtlÇtico de Madrid;Madrid
193;Jaume Roures Llop;230;Comunicaci¢n;Imagina, Mediapro;Catalu§a
194;Mar°a Teresa Rodr°guez Sainz-Rozas y familia Gull¢n;230;Alimentaci¢n;Gull¢n;Castilla y Le¢n
195;Enrique Cerezo Torres;230;Ocio, Cine, Deportes;V°deo Mercury Films, AtlÇtico de Madrid;Madrid
