rank;nombre;patrimonio;sector;empresa;comunidad
266;Eugenio Calabuig Gimeno y familia;165;Servicios, Agua;Aguas de Valencia;C. Valenciana
267;Dolores Ortega Renedo;165;Inmuebles;ex Inditex;Galicia
268;Familia Betere;165;Industria;Flex;Madrid
269;JosÇ Mar°a Costa Casas;165;Alimentaci¢n, C†rnica, Piensos;Grupo Costa Casas, Alimentaci¢n;Arag¢n
270;Familia Batuecas Torrego;160;Construcci¢n;ACS;Madrid
271;Ricardo Aparici Miralles;160;Construcci¢n, Cer†mica;STN Cer†mica, Rimar;C. Valenciana
272;JosÇ Manuel Soler Pujol;160;Automoci¢n, Inmuebles;Quadis;Catalu§a
273;Francisco Gonz†lez Rodr°guez;160;Finanzas;BBVA;Galicia
274;Pedro Luis Cobiella;160;Salud;Grupo HospitÇn;Canarias
275;Familia Vallet;160;Turismo;Catalonia Hoteles;Catalu§a
276;Bego§a, Pablo y Ana Serratosa Luj†n;160;Construcci¢n;Zr°ser;C. Valenciana
277;Familia Alonso Villal¢n;160;Industria;Grupo Daniel Alonso;Asturias
278;Jes£s Lence;160;Alimentaci¢n;Leche R°o;Galicia
279;JosÇ Manuel Mart°nez Sufrategui;155;Finanzas;Banco Sabadell;La Rioja
280;JosÇ Gal°ndez Zubiria;155;Energ°a, Tecnolog°a;Solarpack;Pa°s Vasco
281;Trinitario Casanova Abad°a;150;Inmuebles;Baraka;Murcia
282;Juan Llull Juan;150;Turismo;Hipotels;Baleares
283;Hermanos Contreras Ramos;150;Construcci¢n, Contratas;Azvi;Andaluc°a
284;Silvio El°as y familia;150;Inmuebles;Grup Caboel;Catalu§a
285;Enrique y Bego§a Azc†rate Bernaola;150;Finanzas;ex Seguros La Previsora;Pa°s Vasco
286;Javier God¢ Munta§ola y familia;145;Comunicaci¢n;Grupo God¢;Catalu§a
287;JosÇ Gonz†lez Fuentes;145;Juego;Egasa;Galicia
288;Manuel Garc°a Pardo;145;Energ°a, Renovables;Greenalia;Galicia
289;Amador Castro S†ez;145;Construcci¢n, Contratas;Macovit;Galicia
290;Blas Herrero Fern†ndez;145;Comunicaci¢n;Kiss FM;Asturias
291;Hermanos Orejas Rodr°guez-Arango;145;Construcci¢n, Miner°a;Grupo Orejas;Asturias
292;CÇsar Alierta Izuel;145;Telecomunicaciones;ex Telef¢nica, Telecomunicaciones;Arag¢n
293;Miguel Gargallo L†zaro;145;Turismo;Hoteles Gargallo, Turismo;Arag¢n
294;Hermanos Sainz de Vicu§a Primo de Rivera;140;Inmuebles;;Madrid
295;Manuel y Carlos Mu§oz Garc°a;140;Inmuebles, Construcci¢n;Nesgar Promociones;Madrid
296;Hermanos Vega Sanz;140;Inmuebles;Fimjo;Madrid
297;Familia Llantada Aguinaga;140;Inmuebles, Automoci¢n;Sandamendi, Pendomer;Madrid
298;Jes£s Huerta de Soto Ballester;140;Finanzas, Seguros;Espa§a SA Seguros;Madrid
299;Familia Vi§as;140;Salud, Laboratorios;Laboratorios Vi§as;Catalu§a
300;Hermanos Hern†ndez Sanch°s;140;Construcci¢n, Cer†mica;Grespania;C. Valenciana
301;Ferm°n y Carlos Ayuso Medina;140;Vino, Alimentaci¢n;Bodegas Ayuso;Castilla-La Mancha
302;Familia Remiro;135;Distribuci¢n;Ahorram†s;Madrid
303;FÇlix Revuelta Fern†ndez;135;Salud;Naturhouse, Kiluva;La Rioja
304;Familias L¢pez y BalanyÖ;135;Comercio;ex Electro Stocks, Noria Sicav;Catalu§a
305;Carlos y Francisca Colomer Casillas;135;Inmuebles;ex Colomer Group;Catalu§a
306;Familia Sorli;135;Distribuci¢n;Sorli Disclau;Catalu§a
307;Francisco Rodr°guez Garc°a;135;Alimentaci¢n, L†cteas;Reny Picot, Industrias L†cteas Asturianas (ILAS);Asturias
308;Luis Amenabar Alday;135;Construcci¢n;Grupo Amenabar;Pa°s Vasco
309;Familia Ma§aric£a Aristondo;135;Turismo;Grupo Empresarial Gloria;Canarias
310;Familia Sim¢n Zurita;130;Inmuebles;Verona;Madrid
311;GinÇs y Mar°a Jes£s Garc°a Acebo;130;Distribuci¢n;Gadisa;Galicia
312;Juan Abarca y Carmen Cid¢n;130;Salud;HM Hospitales;Madrid
313;BartolomÇ Plomer Ginart;130;Turismo;Hoteles Viva;Baleares
314;Familia RodÇs Vil???;130;Medios de Comunicaci¢n;Aliada Investments, ISP Inversiones;Catalu§a
315;Familia Ortega Mart°nez;160;Industria, Energ°a;Grupo Ortemar;Castilla-La Mancha
316;Manuel Salinas L†zaro;130;Construcci¢n;Tasal;Arag¢n
317;Jes£s Franco Mu§oz y familia;150;Juego;Recreativos Franco;Castilla-La Mancha
318;Familia Rossell;130;Turismo;Hoteles Playa;Andaluc°a
319;JosÇ Manuel Mart°nez Mart°nez;130;Industria;Ajusa, Hermas†n;Castilla-La Mancha
320;Familia Hern†ndez Mag†n;130;Construcci¢n, Cer†mica;Grupo Mazarr¢n;Castilla-La Mancha
321;Ignacio S†nchez Gal†n;130;Energ°a;Iberdrola;Castilla y Le¢n
322;Familia Feliu Bassols;130;Alimentaci¢n, Agua;Hijos de JosÇ Bassols, Sant Aniol;Catalu§a
323;JosÇ Eulalio Poza Sanz;125;Telecomunicaciones;MasM¢vil;Pa°s Vasco
324;Familia Garrig¢s;125;Industria;Fluidra;Catalu§a
325;Familia Pons;125;Alimentaci¢n;Importaco;C. Valenciana
326;Hermanos Condal EscudÇ;125;Distribuci¢n;Condis;Catalu§a
327;Fernando L¢pez Arvelo;125;Turismo;Grupo Fedola;Canarias
328;Manuel L¢pez Donaire y familia;125;Alimentaci¢n;Delaviuda;Castilla-La Mancha
329;Familia Riva;120;Transporte;Suard°az;Asturias
330;Familia Quintela Montero;120;Inmuebles;Quintefa, Grentidem;Catalu§a
331;Familia Ayuso Moragas;120;Industria;ex Merquinsa;Catalu§a
332;Josefa Ortega Gaona;120;Textil;Inditex;Galicia
333;Familia Cadarso;120;Turismo, Moda;General de Relojer°a;Catalu§a
334;JosÇ Luis Su†rez GutiÇrrez;120;Construcci¢n, Contratas;Copasa;Castilla y Le¢n
335;Manuel Torres Mart°nez y familia;120;Industria, Energ°a;Grupo M Torres;Murcia
336;Eusebio Rubio Mart°n;120;Distribuci¢n;Ahorram†s;Madrid
337;Familia Bertol°n;120;Construcci¢n;Cementos La Uni¢n;C. Valenciana
338;Familia Roehrich Saporta;120;Alimentaci¢n, cerveza;Ambar, Moritz;Catalu§a
339;Familia Eguiz†bal Alonso;115;Vino, Inmuebles;Grupo Eguiz†bal, Bodegas Francoespa§olas;La Rioja
340;Familia Reig Biosca;115;Salud;Reig Jofre;Catalu§a
341;David Ruiz de AndrÇs;115;Energ°a, Renovables;Grenenergy;Madrid
342;Luis Canales Burguillo;115;Inmuebles;ex Alcosto;Madrid
343;Familia Barandiaran Olleros;115;Energ°a;Elecnor;Pa°s Vasco
344;Jes£s Ger Garc°a;115;Construcci¢n;Marina D'Or;C. Valenciana
345;Familia Rodr°guez;115;Alimentaci¢n;Mariscos Rodr°guez;Andaluc°a
346;Ladislao de Arriba Azcona;115;Inmuebles;Doble A Promociones;Asturias
347;Juan Manuel Gonz†lez Serna;115;Alimentaci¢n;Grupo Siro;Castilla y Le¢n
348;Pedro Pascual Gual;115;Turismo, Hoteles;Viva Hoteles;Baleares
349;Santiago y Manuel Santana Cazorla;110;Turismo, Construcci¢n;Grupo Santana Cazorla;Canarias
350;Familia Conesa;110;Alimentaci¢n;Corp. Agroalimentaria del Mediterr†neo;Murcia
351;Pilar y Fernando Yarza Mompe¢n;110;Comunicaci¢n;Heraldo de Arag¢n;Arag¢n
352;Familia OrenÇs;110;Juego;Grupo OrenÇs;Murcia
353;Nieves Segovia Bonet;110;Educaci¢n;Univ. Camilo JosÇ Cela;Madrid
354;Familia Lajo Rodr°guez;110;Construcci¢n;Lyrsa;Madrid
355;Familia Collazo;110;Juego;Comar;Galicia
356;Familia Zamorano Saenz;110;Turismo;Bah°a Duque;Canarias
357;Delf°n Su†rez Almeida;110;Alimentaci¢n;Helados Kalise;Canarias
358;µngel Corc¢stegui Guraya;110;Finanzas;Magnum & Partners;Pa°s Vasco
359;Ricardo Rodrigo y Beatriz Castillo;110;Medios de Comunicaci¢n, Editorial;RBA Editores;Catalu§a
360;Antonio Saor°n Alarcos y familia;110;Construcci¢n, Turismo;Inversiones Castellana;Madrid
361;Familia Asensio Mosbah;105;Comunicaci¢n;Grupo Zeta;Catalu§a
362;Hermanos Rodr°guez Moreno;105;Construcci¢n;Cer†mica La Paloma, Monterroso;Castilla-La Mancha
363;Francisco Argiles Felip;105;Alimentaci¢n, Energ°a;Nufri;Catalu§a
364;Familia Huertas;105;Servicios, Automoci¢n;Grupo Huertas Automoci¢n;Murcia
365;Familia EnÇriz del R°o;100;Inmuebles;Inmuebles, Inmuebles;Arag¢n
366;Fernando M¶ Le¢n Domecq y familia;105;Servicios, Automoci¢n;Elecnor;Andaluc°a
367;JosÇ Manuel Loureda Manti§†n;100;Construcci¢n, Contratas;Sacyr, Repsol;Galicia
368;Miguel Rodr°guez Dom°nguez;100;Moda;Festina Lotus;Andaluc°a
369;Lorenzo Mendieta Sola;100;Inmuebles;Promarsa;Pa°s Vasco
370;Carlos GutiÇrrez Maturana-Larios Altuna;95;Alimentaci¢n, Inmuebles;Grupo Salsa;Andaluc°a
371;Familia Segura Rodr°guez;95;Inmuebles;Entrecampos Cuatro Socimi;Madrid
372;Familia del Pueyo Cortijo;95;Finanzas, Banca;Banca Pueyo;Extremadura
373;Familia San Mart°n;95;Construcci¢n;Constructora San Mart°n;Navarra
374;Jorge Mart°nez Cabanillas;95;Inmuebles;Epona;C. Valenciana
375;Ricardo Ciscar Mart°nez y familia;95;Alimentaci¢n, Arroz;Dacsa;C. Valenciana
