Codigo;Marca;Modelo;ClasAmbiental;Combustible;FechaInicio;Fecha
1433467;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;19/07/2016;25/11/2018
1445992;CITROEN;CITROEN GC4 PICASSO;C;DIESEL;13/01/2017;25/11/2018
1432688;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;07/07/2016;25/11/2018
1428259;CITROEN;CITROEN C-ELYSEE;C;DIESEL;26/05/2016;25/11/2018
1479184;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;17/08/2017;25/11/2018
1433664;CITROEN;C4 PICASSO;C;DIESEL;21/07/2016;25/11/2018
1438459;CITROEN;CITROEN C-ELYSEE;C;DIESEL;10/10/2016;25/11/2018
1399151;CITROEN;CITROEN JUMPY;B;DIESEL;30/12/2015;25/11/2018
1420972;CITROEN;CITROEN JUMPY;B;DIESEL;10/03/2016;25/11/2018
1417532;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;03/02/2016;25/11/2018
1426806;CITROEN;C4 PICASSO;C;DIESEL;12/05/2016;25/11/2018
1399960;CITROEN;CITROEN C-ELYSEE;C;DIESEL;14/01/2016;25/11/2018
1437083;CITROEN;CITROEN C-ELYSEE;C;DIESEL;22/09/2016;25/11/2018
1391381;CITROEN;C4 PICASSO;C;DIESEL;01/10/2015;25/11/2018
1396816;CITROEN;C4 PICASSO;C;DIESEL;01/12/2015;25/11/2018
1339927;CITROEN;C4 PICASSO;C;DIESEL;04/06/2014;25/11/2018
1421269;CITROEN;CITROEN JUMPY;B;DIESEL;15/03/2016;25/11/2018
1443447;CITROEN;C4 PICASSO;C;DIESEL;07/12/2016;25/11/2018
1375342;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;10/03/2015;25/11/2018
1476343;CITROEN;CITROEN C-ELYSEE;C;DIESEL;04/07/2017;25/11/2018
1440566;CITROEN;CITROEN C-ELYSEE;C;DIESEL;03/11/2016;25/11/2018
1433964;CITROEN;CITROEN GC4 PICASSO;C;DIESEL;29/07/2016;25/11/2018
1383332;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;10/06/2015;25/11/2018
1439348;CITROEN;C4 PICASSO;C;DIESEL;21/10/2016;25/11/2018
1383397;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;11/06/2015;25/11/2018
1524512;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;01/10/2018;25/11/2018
1395713;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;19/11/2015;25/11/2018
1513037;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;30/05/2018;25/11/2018
1477360;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;13/07/2017;25/11/2018
1418078;CITROEN;CITROEN C-ELYSEE;C;DIESEL;09/02/2016;25/11/2018
