Día;Altas nuevos usuarios activos ab. anual sin ttp día;Altas nuevos usuarios activos ab. anual con ttp día;Altas nuevos usuarios activos ab. anual total día;;Usuarios activos ab. anual sin ttp acumulado desde inicio;Usuarios activos ab. anual con ttp acumulado desde inicio;Usuarios activos ab. anual total acumulado desde inicio;;;;;;;;;;;;
6/28/17;17;49;66;;30.905;34.089;64.994;;;;;;;;;;;;
6/29/17;-78;-25;-103;;30.827;34.064;64.891;;;;;;;;;;;;
6/30/17;-32;-59;-91;;30.795;34.005;64.800;;;;;;;;;;;;
7/1/17;33;40;73;;30.828;34.045;64.873;;;;;;;;;;;;
7/2/17;29;32;61;;30.857;34.077;64.934;;;;;;;;;;;;
7/3/17;-9;26;17;;30.848;34.103;64.951;;;;;;;;;;;;
7/4/17;-5;48;43;;30.843;34.151;64.994;;;;;;;;;;;;
7/5/17;-39;-37;-76;;30.804;34.114;64.918;;;;;;;;;;;;
7/6/17;22;15;37;;30.826;34.129;64.955;;;;;;;;;;;;
7/7/17;-52;-99;-151;;30.774;34.030;64.804;;;;;;;;;;;;
7/8/17;29;42;71;;30.803;34.072;64.875;;;;;;;;;;;;
7/9/17;30;46;76;;30.833;34.118;64.951;;;;;;;;;;;;
7/10/17;-29;10;-19;;30.804;34.128;64.932;;;;;;;;;;;;
7/11/17;-63;15;-48;;30.741;34.143;64.884;;;;;;;;;;;;
7/12/17;-93;-65;-158;;30.648;34.078;64.726;;;;;;;;;;;;
7/13/17;-15;-16;-31;;30.633;34.062;64.695;;;;;;;;;;;;
7/14/17;0;33;33;;30.633;34.095;64.728;;;;;;;;;;;;
7/15/17;-2;22;20;;30.631;34.117;64.748;;;;;;;;;;;;
7/16/17;-4;-15;-19;;30.627;34.102;64.729;;;;;;;;;;;;
7/17/17;-23;-3;-26;;30.604;34.099;64.703;;;;;;;;;;;;
7/18/17;-4;-14;-18;;30.600;34.085;64.685;;;;;;;;;;;;
7/19/17;-142;27;-115;;30.458;34.112;64.570;;;;;;;;;;;;
7/20/17;-121;-212;-333;;30.337;33.900;64.237;;;;;;;;;;;;
7/21/17;-69;-33;-102;;30.268;33.867;64.135;;;;;;;;;;;;
7/22/17;13;54;67;;30.281;33.921;64.202;;;;;;;;;;;;
7/23/17;27;42;69;;30.308;33.963;64.271;;;;;;;;;;;;
7/24/17;-15;2;-13;;30.293;33.965;64.258;;;;;;;;;;;;
7/25/17;-26;-13;-39;;30.267;33.952;64.219;;;;;;;;;;;;
7/26/17;-11;48;37;;30.256;34.000;64.256;;;;;;;;;;;;
7/27/17;-5;47;42;;30.251;34.047;64.298;;;;;;;;;;;;
7/28/17;-92;-178;-270;;30.159;33.869;64.028;;;;;;;;;;;;
7/29/17;21;24;45;;30.180;33.893;64.073;;;;;;;;;;;;
7/30/17;20;34;54;;30.200;33.927;64.127;;;;;;;;;;;;
7/31/17;-17;-6;-23;;30.183;33.921;64.104;;;;;;;;;;;;
8/1/17;-19;-2;-21;;30.164;33.919;64.083;;;;;;;;;;;;
8/2/17;-65;-48;-113;;30.099;33.871;63.970;;;;;;;;;;;;
8/3/17;-12;-18;-30;;30.087;33.853;63.940;;;;;;;;;;;;
8/4/17;-36;-4;-40;;30.051;33.849;63.900;;;;;;;;;;;;
8/5/17;3;25;28;;30.054;33.874;63.928;;;;;;;;;;;;
8/6/17;18;27;45;;30.072;33.901;63.973;;;;;;;;;;;;
8/7/17;-22;16;-6;;30.050;33.917;63.967;;;;;;;;;;;;
8/8/17;-23;-11;-34;;30.027;33.906;63.933;;;;;;;;;;;;
8/9/17;26;37;63;;30.053;33.943;63.996;;;;;;;;;;;;
8/10/17;-122;-122;-244;;29.931;33.821;63.752;;;;;;;;;;;;
8/11/17;-26;-32;-58;;29.905;33.789;63.694;;;;;;;;;;;;
8/12/17;16;23;39;;29.921;33.812;63.733;;;;;;;;;;;;
8/13/17;11;33;44;;29.932;33.845;63.777;;;;;;;;;;;;
8/14/17;-28;-9;-37;;29.904;33.836;63.740;;;;;;;;;;;;
8/15/17;22;35;57;;29.926;33.871;63.797;;;;;;;;;;;;
8/16/17;-5;-27;-32;;29.921;33.844;63.765;;;;;;;;;;;;
8/17/17;-41;-42;-83;;29.880;33.802;63.682;;;;;;;;;;;;
8/18/17;-25;-54;-79;;29.855;33.748;63.603;;;;;;;;;;;;
8/19/17;5;6;11;;29.860;33.754;63.614;;;;;;;;;;;;
8/20/17;23;33;56;;29.883;33.787;63.670;;;;;;;;;;;;
8/21/17;-13;-14;-27;;29.870;33.773;63.643;;;;;;;;;;;;
8/22/17;-7;15;8;;29.863;33.788;63.651;;;;;;;;;;;;
8/23/17;-11;-18;-29;;29.852;33.770;63.622;;;;;;;;;;;;
8/24/17;-67;-95;-162;;29.785;33.675;63.460;;;;;;;;;;;;
8/25/17;-22;-35;-57;;29.763;33.640;63.403;;;;;;;;;;;;
8/26/17;20;38;58;;29.783;33.678;63.461;;;;;;;;;;;;
8/27/17;6;40;46;;29.789;33.718;63.507;;;;;;;;;;;;
8/28/17;-39;-10;-49;;29.750;33.708;63.458;;;;;;;;;;;;
8/29/17;-5;-5;-10;;29.745;33.703;63.448;;;;;;;;;;;;
8/30/17;-61;-25;-86;;29.684;33.678;63.362;;;;;;;;;;;;
8/31/17;15;25;40;;29.699;33.703;63.402;;;;;;;;;;;;
9/1/17;-17;2;-15;;29.682;33.705;63.387;;;;;;;;;;;;
9/2/17;27;28;55;;29.709;33.733;63.442;;;;;;;;;;;;
9/3/17;25;48;73;;29.734;33.781;63.515;;;;;;;;;;;;
9/4/17;-7;14;7;;29.727;33.795;63.522;;;;;;;;;;;;
9/5/17;19;29;48;;29.746;33.824;63.570;;;;;;;;;;;;
9/6/17;-76;-32;-108;;29.670;33.792;63.462;;;;;;;;;;;;
9/7/17;10;15;25;;29.680;33.807;63.487;;;;;;;;;;;;
9/8/17;-7;24;17;;29.673;33.831;63.504;;;;;;;;;;;;
9/9/17;31;38;69;;29.704;33.869;63.573;;;;;;;;;;;;
9/10/17;36;67;103;;29.740;33.936;63.676;;;;;;;;;;;;
9/11/17;0;-13;-13;;29.740;33.923;63.663;;;;;;;;;;;;
9/12/17;-10;-14;-24;;29.730;33.909;63.639;;;;;;;;;;;;
9/13/17;-117;-128;-245;;29.613;33.781;63.394;;;;;;;;;;;;
9/14/17;-44;-12;-56;;29.569;33.769;63.338;;;;;;;;;;;;
9/15/17;-14;-17;-31;;29.555;33.752;63.307;;;;;;;;;;;;
9/16/17;47;38;85;;29.602;33.790;63.392;;;;;;;;;;;;
9/17/17;61;58;119;;29.663;33.848;63.511;;;;;;;;;;;;
9/18/17;-9;3;-6;;29.654;33.851;63.505;;;;;;;;;;;;
9/19/17;-33;-9;-42;;29.621;33.842;63.463;;;;;;;;;;;;
9/20/17;-4;51;47;;29.617;33.893;63.510;;;;;;;;;;;;
9/21/17;-152;-167;-319;;29.465;33.726;63.191;;;;;;;;;;;;
9/22/17;-12;-3;-15;;29.453;33.723;63.176;;;;;;;;;;;;
9/23/17;52;45;97;;29.505;33.768;63.273;;;;;;;;;;;;
9/24/17;41;42;83;;29.546;33.810;63.356;;;;;;;;;;;;
9/25/17;4;18;22;;29.550;33.828;63.378;;;;;;;;;;;;
9/26/17;-27;12;-15;;29.523;33.840;63.363;;;;;;;;;;;;
9/27/17;-85;-63;-148;;29.438;33.777;63.215;;;;;;;;;;;;
9/28/17;-32;9;-23;;29.406;33.786;63.192;;;;;;;;;;;;
9/29/17;4;7;11;;29.410;33.793;63.203;;;;;;;;;;;;
9/30/17;56;64;120;;29.466;33.857;63.323;;;;;;;;;;;;
10/1/17;49;76;125;;29.515;33.933;63.448;;;;;;;;;;;;
10/2/17;16;64;80;;29.531;33.997;63.528;;;;;;;;;;;;
10/3/17;35;50;85;;29.566;34.047;63.613;;;;;;;;;;;;
10/4/17;5;80;85;;29.571;34.127;63.698;;;;;;;;;;;;
10/5/17;-69;-98;-167;;29.502;34.029;63.531;;;;;;;;;;;;
10/6/17;-35;40;5;;29.467;34.069;63.536;;;;;;;;;;;;
10/7/17;39;69;108;;29.506;34.138;63.644;;;;;;;;;;;;
10/8/17;47;77;124;;29.553;34.215;63.768;;;;;;;;;;;;
10/9/17;-8;1;-7;;29.545;34.216;63.761;;;;;;;;;;;;
10/10/17;-12;-2;-14;;29.533;34.214;63.747;;;;;;;;;;;;
10/11/17;-86;-54;-140;;29.447;34.160;63.607;;;;;;;;;;;;
10/12/17;59;84;143;;29.506;34.244;63.750;;;;;;;;;;;;
10/13/17;-34;25;-9;;29.472;34.269;63.741;;;;;;;;;;;;
10/14/17;31;50;81;;29.503;34.319;63.822;;;;;;;;;;;;
10/15/17;53;82;135;;29.556;34.401;63.957;;;;;;;;;;;;
10/16/17;-13;49;36;;29.543;34.450;63.993;;;;;;;;;;;;
10/17/17;-19;26;7;;29.524;34.476;64.000;;;;;;;;;;;;
10/18/17;-16;0;-16;;29.508;34.476;63.984;;;;;;;;;;;;
10/19/17;-41;48;7;;29.467;34.524;63.991;;;;;;;;;;;;
10/20/17;-41;-66;-107;;29.426;34.458;63.884;;;;;;;;;;;;
10/21/17;13;26;39;;29.439;34.484;63.923;;;;;;;;;;;;
10/22/17;33;90;123;;29.472;34.574;64.046;;;;;;;;;;;;
10/23/17;-1;25;24;;29.471;34.599;64.070;;;;;;;;;;;;
10/24/17;-37;-3;-40;;29.434;34.596;64.030;;;;;;;;;;;;
10/25/17;-6;-98;-104;;29.428;34.498;63.926;;;;;;;;;;;;
10/26/17;-3;17;14;;29.425;34.515;63.940;;;;;;;;;;;;
10/27/17;1;32;33;;29.426;34.547;63.973;;;;;;;;;;;;
10/28/17;31;78;109;;29.457;34.625;64.082;;;;;;;;;;;;
10/29/17;37;80;117;;29.494;34.705;64.199;;;;;;;;;;;;
10/30/17;-11;17;6;;29.483;34.722;64.205;;;;;;;;;;;;
10/31/17;11;27;38;;29.494;34.749;64.243;;;;;;;;;;;;
11/1/17;30;89;119;;29.524;34.838;64.362;;;;;;;;;;;;
11/2/17;-21;-2;-23;;29.503;34.836;64.339;;;;;;;;;;;;
11/3/17;-4;10;6;;29.499;34.846;64.345;;;;;;;;;;;;
11/4/17;27;83;110;;29.526;34.929;64.455;;;;;;;;;;;;
11/5/17;33;88;121;;29.559;35.017;64.576;;;;;;;;;;;;
11/6/17;-6;18;12;;29.553;35.035;64.588;;;;;;;;;;;;
11/7/17;-7;5;-2;;29.546;35.040;64.586;;;;;;;;;;;;
11/8/17;-7;-1;-8;;29.539;35.039;64.578;;;;;;;;;;;;
11/9/17;18;49;67;;29.557;35.088;64.645;;;;;;;;;;;;
11/10/17;-55;-30;-85;;29.502;35.058;64.560;;;;;;;;;;;;
11/11/17;20;63;83;;29.522;35.121;64.643;;;;;;;;;;;;
11/12/17;21;37;58;;29.543;35.158;64.701;;;;;;;;;;;;
11/13/17;-10;9;-1;;29.533;35.167;64.700;;;;;;;;;;;;
11/14/17;-35;-7;-42;;29.498;35.160;64.658;;;;;;;;;;;;
11/15/17;-8;6;-2;;29.490;35.166;64.656;;;;;;;;;;;;
11/16/17;-46;-24;-70;;29.444;35.142;64.586;;;;;;;;;;;;
11/17/17;8;9;17;;29.452;35.151;64.603;;;;;;;;;;;;
11/18/17;9;50;59;;29.461;35.201;64.662;;;;;;;;;;;;
11/19/17;26;50;76;;29.487;35.251;64.738;;;;;;;;;;;;
11/20/17;6;16;22;;29.493;35.267;64.760;;;;;;;;;;;;
11/21/17;-41;-16;-57;;29.452;35.251;64.703;;;;;;;;;;;;
11/22/17;-38;-17;-55;;29.414;35.234;64.648;;;;;;;;;;;;
11/23/17;-12;8;-4;;29.402;35.242;64.644;;;;;;;;;;;;
11/24/17;-3;16;13;;29.399;35.258;64.657;;;;;;;;;;;;
11/25/17;19;48;67;;29.418;35.306;64.724;;;;;;;;;;;;
11/26/17;16;37;53;;29.434;35.343;64.777;;;;;;;;;;;;
11/27/17;-12;6;-6;;29.422;35.349;64.771;;;;;;;;;;;;
11/28/17;-12;0;-12;;29.410;35.349;64.759;;;;;;;;;;;;
11/29/17;-28;-23;-51;;29.382;35.326;64.708;;;;;;;;;;;;
11/30/17;1;13;14;;29.383;35.339;64.722;;;;;;;;;;;;
12/1/17;-6;6;0;;29.377;35.345;64.722;;;;;;;;;;;;
12/2/17;9;26;35;;29.386;35.371;64.757;;;;;;;;;;;;
12/3/17;10;25;35;;29.396;35.396;64.792;;;;;;;;;;;;
12/4/17;-13;5;-8;;29.383;35.401;64.784;;;;;;;;;;;;
12/5/17;-4;14;10;;29.379;35.415;64.794;;;;;;;;;;;;
12/6/17;14;26;40;;29.393;35.441;64.834;;;;;;;;;;;;
12/7/17;-22;-8;-30;;29.371;35.433;64.804;;;;;;;;;;;;
12/8/17;4;21;25;;29.375;35.454;64.829;;;;;;;;;;;;
12/9/17;15;25;40;;29.390;35.479;64.869;;;;;;;;;;;;
12/10/17;-3;20;17;;29.387;35.499;64.886;;;;;;;;;;;;
12/11/17;-10;-18;-28;;29.377;35.481;64.858;;;;;;;;;;;;
12/12/17;1;6;7;;29.378;35.487;64.865;;;;;;;;;;;;
12/13/17;-6;6;0;;29.372;35.493;64.865;;;;;;;;;;;;
12/14/17;-12;15;3;;29.360;35.508;64.868;;;;;;;;;;;;
12/15/17;-22;-26;-48;;29.338;35.482;64.820;;;;;;;;;;;;
12/16/17;8;26;34;;29.346;35.508;64.854;;;;;;;;;;;;
12/17/17;14;13;27;;29.360;35.521;64.881;;;;;;;;;;;;
12/18/17;2;-2;0;;29.362;35.519;64.881;;;;;;;;;;;;
12/19/17;-23;-18;-41;;29.339;35.501;64.840;;;;;;;;;;;;
12/20/17;-38;-61;-99;;29.301;35.440;64.741;;;;;;;;;;;;
12/21/17;-25;12;-13;;29.276;35.452;64.728;;;;;;;;;;;;
12/22/17;-7;12;5;;29.269;35.464;64.733;;;;;;;;;;;;
12/23/17;15;12;27;;29.284;35.476;64.760;;;;;;;;;;;;
12/24/17;4;10;14;;29.288;35.486;64.774;;;;;;;;;;;;
12/25/17;-2;22;20;;29.286;35.508;64.794;;;;;;;;;;;;
12/26/17;-1;7;6;;29.285;35.515;64.800;;;;;;;;;;;;
12/27/17;-4;11;7;;29.281;35.526;64.807;;;;;;;;;;;;
12/28/17;-11;-18;-29;;29.270;35.508;64.778;;;;;;;;;;;;
12/29/17;6;8;14;;29.276;35.516;64.792;;;;;;;;;;;;
12/30/17;2;38;40;;29.278;35.554;64.832;;;;;;;;;;;;
12/31/17;5;5;10;;29.283;35.559;64.842;;;;;;;;;;;;
1/1/18;4;24;28;;29.287;35.583;64.870;;;;;;;;;;;;
1/2/18;6;26;32;;29.293;35.609;64.902;;;;;;;;;;;;
1/3/18;0;13;13;;29.293;35.622;64.915;;;;;;;;;;;;
1/4/18;8;17;25;;29.301;35.639;64.940;;;;;;;;;;;;
1/5/18;-28;-23;-51;;29.273;35.616;64.889;;;;;;;;;;;;
1/6/18;-2;11;9;;29.271;35.627;64.898;;;;;;;;;;;;
1/7/18;2;13;15;;29.273;35.640;64.913;;;;;;;;;;;;
1/8/18;-1;11;10;;29.272;35.651;64.923;;;;;;;;;;;;
1/9/18;-9;2;-7;;29.263;35.653;64.916;;;;;;;;;;;;
1/10/18;-13;8;-5;;29.250;35.661;64.911;;;;;;;;;;;;
1/11/18;-32;-20;-52;;29.218;35.641;64.859;;;;;;;;;;;;
1/12/18;-3;14;11;;29.215;35.655;64.870;;;;;;;;;;;;
1/13/18;3;17;20;;29.218;35.672;64.890;;;;;;;;;;;;
1/14/18;13;23;36;;29.231;35.695;64.926;;;;;;;;;;;;
1/15/18;-12;6;-6;;29.219;35.701;64.920;;;;;;;;;;;;
1/16/18;-2;4;2;;29.217;35.705;64.922;;;;;;;;;;;;
1/17/18;-36;-8;-44;;29.181;35.697;64.878;;;;;;;;;;;;
1/18/18;-7;11;4;;29.174;35.708;64.882;;;;;;;;;;;;
1/19/18;1;12;13;;29.175;35.720;64.895;;;;;;;;;;;;
1/20/18;9;30;39;;29.184;35.750;64.934;;;;;;;;;;;;
1/21/18;16;63;79;;29.200;35.813;65.013;;;;;;;;;;;;
1/22/18;-12;28;16;;29.188;35.841;65.029;;;;;;;;;;;;
1/23/18;0;-2;-2;;29.188;35.839;65.027;;;;;;;;;;;;
1/24/18;-9;25;16;;29.179;35.864;65.043;;;;;;;;;;;;
1/25/18;-21;21;0;;29.158;35.885;65.043;;;;;;;;;;;;
1/26/18;-2;-65;-67;;29.156;35.820;64.976;;;;;;;;;;;;
1/27/18;9;35;44;;29.165;35.855;65.020;;;;;;;;;;;;
1/28/18;19;28;47;;29.184;35.883;65.067;;;;;;;;;;;;
1/29/18;11;6;17;;29.195;35.889;65.084;;;;;;;;;;;;
1/30/18;4;22;26;;29.199;35.911;65.110;;;;;;;;;;;;
1/31/18;-26;1;-25;;29.173;35.912;65.085;;;;;;;;;;;;
2/1/18;-5;-15;-20;;29.168;35.897;65.065;;;;;;;;;;;;
2/2/18;-8;4;-4;;29.160;35.901;65.061;;;;;;;;;;;;
2/3/18;17;24;41;;29.177;35.925;65.102;;;;;;;;;;;;
2/4/18;5;6;11;;29.182;35.931;65.113;;;;;;;;;;;;
2/5/18;-23;-14;-37;;29.159;35.917;65.076;;;;;;;;;;;;
2/6/18;-8;8;0;;29.151;35.925;65.076;;;;;;;;;;;;
2/7/18;-21;-25;-46;;29.130;35.900;65.030;;;;;;;;;;;;
2/8/18;-18;-13;-31;;29.112;35.887;64.999;;;;;;;;;;;;
2/9/18;-18;6;-12;;29.094;35.893;64.987;;;;;;;;;;;;
2/10/18;3;29;32;;29.097;35.922;65.019;;;;;;;;;;;;
2/11/18;9;46;55;;29.106;35.968;65.074;;;;;;;;;;;;
2/12/18;-14;7;-7;;29.092;35.975;65.067;;;;;;;;;;;;
2/13/18;7;-1;6;;29.099;35.974;65.073;;;;;;;;;;;;
2/14/18;-25;-29;-54;;29.074;35.945;65.019;;;;;;;;;;;;
2/15/18;-15;1;-14;;29.059;35.946;65.005;;;;;;;;;;;;
2/16/18;2;24;26;;29.061;35.970;65.031;;;;;;;;;;;;
2/17/18;16;46;62;;29.077;36.016;65.093;;;;;;;;;;;;
2/18/18;22;44;66;;29.099;36.060;65.159;;;;;;;;;;;;
2/19/18;-10;3;-7;;29.089;36.063;65.152;;;;;;;;;;;;
2/20/18;0;3;3;;29.089;36.066;65.155;;;;;;;;;;;;
2/21/18;-14;3;-11;;29.075;36.069;65.144;;;;;;;;;;;;
2/22/18;-4;0;-4;;29.071;36.069;65.140;;;;;;;;;;;;
2/23/18;-9;19;10;;29.062;36.088;65.150;;;;;;;;;;;;
2/24/18;16;36;52;;29.078;36.124;65.202;;;;;;;;;;;;
2/25/18;12;24;36;;29.090;36.148;65.238;;;;;;;;;;;;
2/26/18;1;1;2;;29.091;36.149;65.240;;;;;;;;;;;;
2/27/18;-6;-3;-9;;29.085;36.146;65.231;;;;;;;;;;;;
2/28/18;-43;-30;-73;;29.042;36.116;65.158;;;;;;;;;;;;
3/1/18;-19;-25;-44;;29.023;36.091;65.114;;;;;;;;;;;;
3/2/18;-11;-17;-28;;29.012;36.074;65.086;;;;;;;;;;;;
3/3/18;9;1;10;;29.021;36.075;65.096;;;;;;;;;;;;
3/4/18;18;29;47;;29.039;36.104;65.143;;;;;;;;;;;;
3/5/18;1;1;2;;29.040;36.105;65.145;;;;;;;;;;;;
3/6/18;-10;1;-9;;29.030;36.106;65.136;;;;;;;;;;;;
3/7/18;-3;30;27;;29.027;36.136;65.163;;;;;;;;;;;;
3/8/18;-24;-44;-68;;29.003;36.092;65.095;;;;;;;;;;;;
3/9/18;-13;-7;-20;;28.990;36.085;65.075;;;;;;;;;;;;
3/10/18;0;1;1;;28.990;36.086;65.076;;;;;;;;;;;;
3/11/18;4;17;21;;28.994;36.103;65.097;;;;;;;;;;;;
3/12/18;-21;7;-14;;28.973;36.110;65.083;;;;;;;;;;;;
3/13/18;-31;13;-18;;28.942;36.123;65.065;;;;;;;;;;;;
3/14/18;-41;-40;-81;;28.901;36.083;64.984;;;;;;;;;;;;
3/15/18;6;-4;2;;28.907;36.079;64.986;;;;;;;;;;;;
3/16/18;-12;-3;-15;;28.895;36.076;64.971;;;;;;;;;;;;
3/17/18;17;17;34;;28.912;36.093;65.005;;;;;;;;;;;;
3/18/18;20;40;60;;28.932;36.133;65.065;;;;;;;;;;;;
3/19/18;-16;-26;-42;;28.916;36.107;65.023;;;;;;;;;;;;
3/20/18;-18;-24;-42;;28.898;36.083;64.981;;;;;;;;;;;;
3/21/18;-81;-41;-122;;28.817;36.042;64.859;;;;;;;;;;;;
3/22/18;1;-13;-12;;28.818;36.029;64.847;;;;;;;;;;;;
3/23/18;2;-18;-16;;28.820;36.011;64.831;;;;;;;;;;;;
3/24/18;0;26;26;;28.820;36.037;64.857;;;;;;;;;;;;
3/25/18;2;30;32;;28.822;36.067;64.889;;;;;;;;;;;;
3/26/18;-1;-10;-11;;28.821;36.057;64.878;;;;;;;;;;;;
3/27/18;-22;37;15;;28.799;36.094;64.893;;;;;;;;;;;;
3/28/18;-39;-53;-92;;28.760;36.041;64.801;;;;;;;;;;;;
3/29/18;8;34;42;;28.768;36.075;64.843;;;;;;;;;;;;
3/30/18;12;20;32;;28.780;36.095;64.875;;;;;;;;;;;;
3/31/18;0;1;1;;28.780;36.096;64.876;;;;;;;;;;;;
4/1/18;22;37;59;;28.802;36.133;64.935;;;;;;;;;;;;
4/2/18;-19;8;-11;;28.783;36.141;64.924;;;;;;;;;;;;
4/3/18;5;5;10;;28.788;36.146;64.934;;;;;;;;;;;;
4/4/18;-5;19;14;;28.783;36.165;64.948;;;;;;;;;;;;
4/5/18;-7;35;28;;28.776;36.200;64.976;;;;;;;;;;;;
4/6/18;-24;-35;-59;;28.752;36.165;64.917;;;;;;;;;;;;
4/7/18;3;25;28;;28.755;36.190;64.945;;;;;;;;;;;;
4/8/18;13;31;44;;28.768;36.221;64.989;;;;;;;;;;;;
4/9/18;-23;3;-20;;28.745;36.224;64.969;;;;;;;;;;;;
4/10/18;-15;-33;-48;;28.730;36.191;64.921;;;;;;;;;;;;
4/11/18;-97;-118;-215;;28.633;36.073;64.706;;;;;;;;;;;;
4/12/18;-6;-23;-29;;28.627;36.050;64.677;;;;;;;;;;;;
4/13/18;-13;-2;-15;;28.614;36.048;64.662;;;;;;;;;;;;
4/14/18;26;35;61;;28.640;36.083;64.723;;;;;;;;;;;;
4/15/18;17;53;70;;28.657;36.136;64.793;;;;;;;;;;;;
4/16/18;-8;1;-7;;28.649;36.137;64.786;;;;;;;;;;;;
4/17/18;16;22;38;;28.665;36.159;64.824;;;;;;;;;;;;
4/18/18;-53;-54;-107;;28.612;36.105;64.717;;;;;;;;;;;;
4/19/18;11;23;34;;28.623;36.128;64.751;;;;;;;;;;;;
4/20/18;4;21;25;;28.627;36.149;64.776;;;;;;;;;;;;
4/21/18;28;63;91;;28.655;36.212;64.867;;;;;;;;;;;;
4/22/18;15;78;93;;28.670;36.290;64.960;;;;;;;;;;;;
4/23/18;-2;11;9;;28.668;36.301;64.969;;;;;;;;;;;;
4/24/18;-2;28;26;;28.666;36.329;64.995;;;;;;;;;;;;
4/25/18;-27;-15;-42;;28.639;36.314;64.953;;;;;;;;;;;;
4/26/18;3;12;15;;28.642;36.326;64.968;;;;;;;;;;;;
4/27/18;-12;28;16;;28.630;36.354;64.984;;;;;;;;;;;;
4/28/18;15;45;60;;28.645;36.399;65.044;;;;;;;;;;;;
4/29/18;14;14;28;;28.659;36.413;65.072;;;;;;;;;;;;
4/30/18;-21;-2;-23;;28.638;36.411;65.049;;;;;;;;;;;;
5/1/18;11;67;78;;28.649;36.478;65.127;;;;;;;;;;;;
5/2/18;23;57;80;;28.672;36.535;65.207;;;;;;;;;;;;
5/3/18;-4;13;9;;28.668;36.548;65.216;;;;;;;;;;;;
5/4/18;14;58;72;;28.682;36.606;65.288;;;;;;;;;;;;
5/5/18;-35;7;-28;;28.647;36.613;65.260;;;;;;;;;;;;
5/6/18;27;90;117;;28.674;36.703;65.377;;;;;;;;;;;;
5/7/18;-9;8;-1;;28.665;36.711;65.376;;;;;;;;;;;;
5/8/18;4;37;41;;28.669;36.748;65.417;;;;;;;;;;;;
5/9/18;8;28;36;;28.677;36.776;65.453;;;;;;;;;;;;
5/10/18;10;59;69;;28.687;36.835;65.522;;;;;;;;;;;;
5/11/18;-18;4;-14;;28.669;36.839;65.508;;;;;;;;;;;;
5/12/18;15;69;84;;28.684;36.908;65.592;;;;;;;;;;;;
5/13/18;19;83;102;;28.703;36.991;65.694;;;;;;;;;;;;
5/14/18;-55;-50;-105;;28.648;36.941;65.589;;;;;;;;;;;;
5/15/18;22;83;105;;28.670;37.024;65.694;;;;;;;;;;;;
5/16/18;-24;25;1;;28.646;37.049;65.695;;;;;;;;;;;;
5/17/18;-75;19;-56;;28.571;37.068;65.639;;;;;;;;;;;;
5/18/18;-6;16;10;;28.565;37.084;65.649;;;;;;;;;;;;
5/19/18;28;52;80;;28.593;37.136;65.729;;;;;;;;;;;;
5/20/18;22;70;92;;28.615;37.206;65.821;;;;;;;;;;;;
5/21/18;-20;29;9;;28.595;37.235;65.830;;;;;;;;;;;;
5/22/18;-3;-4;-7;;28.592;37.231;65.823;;;;;;;;;;;;
5/23/18;-1;6;5;;28.591;37.237;65.828;;;;;;;;;;;;
5/24/18;-44;-29;-73;;28.547;37.208;65.755;;;;;;;;;;;;
5/25/18;-53;-35;-88;;28.494;37.173;65.667;;;;;;;;;;;;
5/26/18;27;47;74;;28.521;37.220;65.741;;;;;;;;;;;;
5/27/18;0;74;74;;28.521;37.294;65.815;;;;;;;;;;;;
5/28/18;-26;-1;-27;;28.495;37.293;65.788;;;;;;;;;;;;
5/29/18;-11;1;-10;;28.484;37.294;65.778;;;;;;;;;;;;
5/30/18;-62;-77;-139;;28.422;37.217;65.639;;;;;;;;;;;;
5/31/18;-14;-10;-24;;28.408;37.207;65.615;;;;;;;;;;;;
6/1/18;-14;22;8;;28.394;37.229;65.623;;;;;;;;;;;;
6/2/18;13;55;68;;28.407;37.284;65.691;;;;;;;;;;;;
6/3/18;15;66;81;;28.422;37.350;65.772;;;;;;;;;;;;
6/4/18;-9;15;6;;28.413;37.365;65.778;;;;;;;;;;;;
6/5/18;-31;14;-17;;28.382;37.379;65.761;;;;;;;;;;;;
6/6/18;-58;-49;-107;;28.324;37.330;65.654;;;;;;;;;;;;
6/7/18;5;-13;-8;;28.329;37.317;65.646;;;;;;;;;;;;
6/8/18;-12;-17;-29;;28.317;37.300;65.617;;;;;;;;;;;;
6/9/18;-14;98;84;;28.303;37.398;65.701;;;;;;;;;;;;
6/10/18;9;48;57;;28.312;37.446;65.758;;;;;;;;;;;;
6/11/18;-13;4;-9;;28.299;37.450;65.749;;;;;;;;;;;;
6/12/18;-5;13;8;;28.294;37.463;65.757;;;;;;;;;;;;
6/13/18;-83;-58;-141;;28.211;37.405;65.616;;;;;;;;;;;;
6/14/18;-5;3;-2;;28.206;37.408;65.614;;;;;;;;;;;;
6/15/18;-13;5;-8;;28.193;37.413;65.606;;;;;;;;;;;;
6/16/18;25;43;68;;28.218;37.456;65.674;;;;;;;;;;;;
6/17/18;29;75;104;;28.247;37.531;65.778;;;;;;;;;;;;
6/18/18;-11;-7;-18;;28.236;37.524;65.760;;;;;;;;;;;;
6/19/18;-26;31;5;;28.210;37.555;65.765;;;;;;;;;;;;
6/20/18;-65;-40;-105;;28.145;37.515;65.660;;;;;;;;;;;;
6/21/18;-15;4;-11;;28.130;37.519;65.649;;;;;;;;;;;;
6/22/18;-10;-8;-18;;28.120;37.511;65.631;;;;;;;;;;;;
6/23/18;19;32;51;;28.139;37.543;65.682;;;;;;;;;;;;
