Matricula;NumEmt;Marca;Modelo;Version;Combustible;ClasEcol;Plataforma;Plazas;Falta;Fbaja
7808KLR;4866;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;28/06/2018;31/12/9999
9094KLP;4868;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;28/06/2018;31/12/9999
9223KLP;4865;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;28/06/2018;31/12/9999
8919KLP;4862;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;27/06/2018;31/12/9999
8948KLP;4863;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;27/06/2018;31/12/9999
8977KLP;4861;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;27/06/2018;31/12/9999
9236KLP;4864;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;27/06/2018;31/12/9999
9000KLP;4860;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;26/06/2018;31/12/9999
9015KLP;4859;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;26/06/2018;31/12/9999
9041KLP;4858;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;26/06/2018;31/12/9999
9346KKT;4855;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;26/06/2018;31/12/9999
9063KLP;4857;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;23/06/2018;31/12/9999
9075KLP;4856;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;23/06/2018;31/12/9999
9081KLR;2133;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;22/06/2018;31/12/9999
9467KLR;2134;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;22/06/2018;31/12/9999
2201KLT;2137;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
2365KLT;2138;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
2417KLT;2139;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
2447KLT;2140;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
8536KLR;2131;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
8618KLR;2132;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
8808KLR;2135;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
9449KLR;2136;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;21/06/2018;31/12/9999
4243KLB;2129;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;16/06/2018;31/12/9999
4253KLB;2130;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;16/06/2018;31/12/9999
4323KLB;2128;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;16/06/2018;31/12/9999
8502KKT;4849;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;16/06/2018;31/12/9999
9185KKT;4844;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;16/06/2018;31/12/9999
9283KKT;4854;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;16/06/2018;31/12/9999
4220KLB;2124;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;12/06/2018;31/12/9999
4313KLB;2127;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;12/06/2018;31/12/9999
8444KKT;4853;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;12/06/2018;31/12/9999
4117KLB;2125;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;09/06/2018;31/12/9999
4221KLB;2122;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;09/06/2018;31/12/9999
4248KLB;2126;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;09/06/2018;31/12/9999
9254KKT;4852;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;09/06/2018;31/12/9999
3942KLB;2123;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;08/06/2018;31/12/9999
4262KLB;2121;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;08/06/2018;31/12/9999
6537KJF;4981;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;08/06/2018;31/12/9999
8399KKT;4845;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;06/06/2018;31/12/9999
8531KKT;4848;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;06/06/2018;31/12/9999
8575KKT;4847;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;06/06/2018;31/12/9999
9308KKT;4850;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;06/06/2018;31/12/9999
7031KJX;4842;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;05/06/2018;31/12/9999
8623KKT;4846;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;05/06/2018;31/12/9999
9386KKT;4851;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;05/06/2018;31/12/9999
2621KKB;2120;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;01/06/2018;31/12/9999
8690KKT;4843;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;01/06/2018;31/12/9999
2368KKB;2109;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;30/05/2018;31/12/9999
2527KKB;2118;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;30/05/2018;31/12/9999
2549KKB;2117;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;30/05/2018;31/12/9999
2596KKB;2119;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;30/05/2018;31/12/9999
6871KJX;4841;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;30/05/2018;31/12/9999
6921KJX;4839;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;30/05/2018;31/12/9999
7001KJX;4840;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;30/05/2018;31/12/9999
7059KJX;4838;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;30/05/2018;31/12/9999
7090KJX;4837;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;30/05/2018;31/12/9999
2418KKB;2114;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;23/05/2018;31/12/9999
6715KJX;4835;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;23/05/2018;31/12/9999
6746KJX;4834;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;23/05/2018;31/12/9999
7133KJX;4836;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;23/05/2018;31/12/9999
2394KKB;2113;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;17/05/2018;31/12/9999
2445KKB;2115;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;17/05/2018;31/12/9999
2492KKB;2116;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;17/05/2018;31/12/9999
2694KHK;4972;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;17/05/2018;31/12/9999
3900KJD;2112;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;17/05/2018;31/12/9999
6540KJF;4982;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;17/05/2018;31/12/9999
6615KJX;4829;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;17/05/2018;31/12/9999
6662KJX;4828;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;17/05/2018;31/12/9999
6768KJX;4833;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;17/05/2018;31/12/9999
6838KJX;4832;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;17/05/2018;31/12/9999
2338KKB;2108;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;08/05/2018;31/12/9999
6530KJF;4976;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;07/05/2018;31/12/9999
6551KJF;4977;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;07/05/2018;31/12/9999
6553KJF;4975;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;07/05/2018;31/12/9999
6669KJF;4978;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;07/05/2018;31/12/9999
6674KJF;4979;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;07/05/2018;31/12/9999
6693KJF;4980;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;07/05/2018;31/12/9999
6590KJF;4974;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;26/04/2018;31/12/9999
6597KJF;4830;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;26/04/2018;31/12/9999
6602KJF;4831;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;26/04/2018;31/12/9999
6703KJF;4827;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;26/04/2018;31/12/9999
6529KJF;4970;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;24/04/2018;31/12/9999
6555KJF;4966;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;24/04/2018;31/12/9999
6572KJF;4973;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;24/04/2018;31/12/9999
2453KHK;4969;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;20/04/2018;31/12/9999
2686KHK;4971;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;20/04/2018;31/12/9999
6534KJF;4819;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;20/04/2018;31/12/9999
6622KJF;4820;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;20/04/2018;31/12/9999
6533KJF;4818;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;18/04/2018;31/12/9999
2629KHK;4968;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;17/04/2018;31/12/9999
2645KHK;4967;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;17/04/2018;31/12/9999
3878KJD;2111;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;17/04/2018;31/12/9999
6532KJF;4816;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;17/04/2018;31/12/9999
6547KJF;4825;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;17/04/2018;31/12/9999
6653KJF;4822;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;17/04/2018;31/12/9999
3800KJD;2102;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;10/04/2018;31/12/9999
3844KJD;2107;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;10/04/2018;31/12/9999
3867KJD;2110;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;10/04/2018;31/12/9999
6544KJF;4823;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;10/04/2018;31/12/9999
6545KJF;4824;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;10/04/2018;31/12/9999
6631KJF;4821;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;10/04/2018;31/12/9999
6716KJF;4826;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;10/04/2018;31/12/9999
3820KJD;2105;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;06/04/2018;31/12/9999
7467KHK;2100;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;06/04/2018;31/12/9999
3793KJD;2101;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;04/04/2018;31/12/9999
3804KJD;2103;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;04/04/2018;31/12/9999
3808KJD;2104;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;04/04/2018;31/12/9999
3825KJD;2106;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;04/04/2018;31/12/9999
7166KFX;4928;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;04/04/2018;31/12/9999
1108KHL;4817;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;03/04/2018;31/12/9999
2498KHK;4964;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;03/04/2018;31/12/9999
2592KHK;4963;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;03/04/2018;31/12/9999
2597KHK;4962;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;03/04/2018;31/12/9999
0810KGB;4959;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;28/03/2018;31/12/9999
2621KHK;4961;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;28/03/2018;31/12/9999
2774KHK;4812;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;28/03/2018;31/12/9999
6292KFZ;4958;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;28/03/2018;31/12/9999
6297KFZ;4957;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;28/03/2018;31/12/9999
6308KFZ;4960;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;28/03/2018;31/12/9999
6331KFY;4949;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;28/03/2018;31/12/9999
7227KFX;4943;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;23/03/2018;31/12/9999
7305KFX;4945;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;23/03/2018;31/12/9999
7428KHK;2094;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;23/03/2018;31/12/9999
7436KHK;2096;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;23/03/2018;31/12/9999
7448KHK;2098;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;23/03/2018;31/12/9999
1099KGW;2082;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;20/03/2018;31/12/9999
1174KHL;4815;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;20/03/2018;31/12/9999
2674KHK;4803;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;20/03/2018;31/12/9999
2744KHK;4810;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;20/03/2018;31/12/9999
2756KHK;4813;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;20/03/2018;31/12/9999
2765KHK;4811;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;20/03/2018;31/12/9999
7415KHK;2092;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;20/03/2018;31/12/9999
7456KHK;2099;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;20/03/2018;31/12/9999
6277KFZ;4953;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;16/03/2018;31/12/9999
6272KFY;4952;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;15/03/2018;31/12/9999
7263KFX;4951;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;15/03/2018;31/12/9999
1426KGW;2087;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;14/03/2018;31/12/9999
2635KHK;4965;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;14/03/2018;31/12/9999
2680KHK;4804;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;14/03/2018;31/12/9999
2716KHK;4809;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;14/03/2018;31/12/9999
2750KHK;4806;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;14/03/2018;31/12/9999
2761KHK;4814;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;14/03/2018;31/12/9999
3508KHK;4807;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;14/03/2018;31/12/9999
6918KGY;2091;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;14/03/2018;31/12/9999
7443KHK;2097;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;14/03/2018;31/12/9999
6949KGY;2095;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;10/03/2018;31/12/9999
7223KFX;4944;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;10/03/2018;31/12/9999
7272KFX;4950;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;10/03/2018;31/12/9999
7420KHK;2093;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;10/03/2018;31/12/9999
7198KFX;4937;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;09/03/2018;31/12/9999
7216KFX;4948;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;09/03/2018;31/12/9999
7283KFX;4947;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;09/03/2018;31/12/9999
7147KFX;4935;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;07/03/2018;31/12/9999
7290KFX;4946;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;07/03/2018;31/12/9999
7331KFX;4936;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;07/03/2018;31/12/9999
6282KFZ;4956;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;06/03/2018;31/12/9999
6284KFZ;4954;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;06/03/2018;31/12/9999
6287KFZ;4955;MERCEDES;Cit-GNC ;5;GNC;Euro VI;Doble plat. doble;77;06/03/2018;31/12/9999
7189KFX;4939;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;06/03/2018;31/12/9999
7191KFX;4938;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;06/03/2018;31/12/9999
7231KFX;4942;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;06/03/2018;31/12/9999
7241KFX;4941;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;06/03/2018;31/12/9999
7258KFX;4940;MERCEDES;Cit-GNC ;4;GNC;Euro VI;Doble plat. doble;77;06/03/2018;31/12/9999
9841KFC;4774;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;06/03/2018;31/12/9999
0388KFD;4794;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;03/03/2018;31/12/9999
0446KFD;4797;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;03/03/2018;31/12/9999
0864KFD;4784;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;03/03/2018;31/12/9999
1125KGW;2083;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;02/03/2018;31/12/9999
1160KGW;2086;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;02/03/2018;31/12/9999
0040KFD;4786;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;01/03/2018;31/12/9999
0301KFD;4798;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;01/03/2018;31/12/9999
1550KGW;2090;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;01/03/2018;31/12/9999
5547KDT;4732;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;01/03/2018;31/12/9999
9778KFC;4778;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;01/03/2018;31/12/9999
9805KFC;4777;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;01/03/2018;31/12/9999
0597KFD;4770;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;27/02/2018;31/12/9999
1062KGW;2081;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;27/02/2018;31/12/9999
1316KGW;2084;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;27/02/2018;31/12/9999
1382KGW;2085;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;27/02/2018;31/12/9999
1458KGW;2088;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;27/02/2018;31/12/9999
1489KGW;2089;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;27/02/2018;31/12/9999
4752KGX;4805;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;27/02/2018;31/12/9999
4773KGX;4808;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;27/02/2018;31/12/9999
6597KDV;4765;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;27/02/2018;31/12/9999
6307KDV;4758;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;23/02/2018;31/12/9999
6660KDV;4768;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;23/02/2018;31/12/9999
6990KDV;4764;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;23/02/2018;31/12/9999
4408KDT;4715;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;22/02/2018;31/12/9999
4859KDS;4731;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;22/02/2018;31/12/9999
4883KDS;4704;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;22/02/2018;31/12/9999
0543KFD;4781;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;21/02/2018;31/12/9999
4910KDS;4721;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;21/02/2018;31/12/9999
5956KDT;4727;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;21/02/2018;31/12/9999
0075KFD;4771;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;20/02/2018;31/12/9999
6565KDV;4762;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;20/02/2018;31/12/9999
6837KDV;4751;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;20/02/2018;31/12/9999
6883KDV;4754;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;20/02/2018;31/12/9999
6951KDV;4755;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;20/02/2018;31/12/9999
6958KDV;4757;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;20/02/2018;31/12/9999
0564KFD;4769;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;17/02/2018;31/12/9999
6736KDV;4747;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;17/02/2018;31/12/9999
5622KDT;4723;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;16/02/2018;31/12/9999
5743KDT;4740;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;16/02/2018;31/12/9999
6895KDV;4749;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;16/02/2018;31/12/9999
4840KDT;4717;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;15/02/2018;31/12/9999
4865KDS;4735;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;15/02/2018;31/12/9999
5008KDT;4702;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;15/02/2018;31/12/9999
5671KDT;4729;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;15/02/2018;31/12/9999
5857KDT;4730;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;15/02/2018;31/12/9999
6756KDV;4748;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;14/02/2018;31/12/9999
6801KDV;4750;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;14/02/2018;31/12/9999
3221KFS;2078;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;13/02/2018;31/12/9999
3324KDW;4746;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;13/02/2018;31/12/9999
6347KDV;4745;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;13/02/2018;31/12/9999
3103KFS;2077;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;10/02/2018;31/12/9999
3300KFS;2079;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;10/02/2018;31/12/9999
3385KFS;2080;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;10/02/2018;31/12/9999
6904KDV;4743;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;10/02/2018;31/12/9999
4618KDT;4716;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;09/02/2018;31/12/9999
5912KDT;4739;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;09/02/2018;31/12/9999
6629KDV;4767;MERCEDES;Cit-GNC ;3;GNC;Euro VI;Doble plat. doble;77;09/02/2018;31/12/9999
4465KDT;4719;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;08/02/2018;31/12/9999
5723KDT;4741;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;08/02/2018;31/12/9999
5877KDT;4728;MERCEDES;Cit-GNC ;2;GNC;Euro VI;Doble plat. doble;77;08/02/2018;31/12/9999
2058KFF;2068;SCANIA;N280 UB GNC ;1;GNC;Euro VI;Plat. doble;78;06/02/2018;31/12/9999
