Matricula;NumEmt;Marca;Modelo;Version;Combustible;ClasEcol;Plataforma;Plazas;Falta;Fbaja
9242GYR;8269;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;10/12/2010;31/12/9999
6681GYT;8278;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;05/12/2010;31/12/9999
6694GYT;8274;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;05/12/2010;31/12/9999
9249GYR;8273;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;05/12/2010;31/12/9999
6692GYT;8275;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;02/12/2010;31/12/9999
9246GYR;8271;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;27/11/2010;31/12/9999
9248GYR;8272;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;27/11/2010;31/12/9999
9244GYR;8270;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;26/11/2010;31/12/9999
9245GYR;8268;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;26/11/2010;31/12/9999
1764GYZ;8905;IVECO;Citelis Aeropuerto GNC;1;GNC;VEM;Plat. ampliada;77;24/11/2010;21/07/2011
1723GYZ;8912;IVECO;Citelis Aeropuerto GNC;1;GNC;VEM;Plat. ampliada;77;23/11/2010;28/07/2011
3898GZD;8754;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;20/11/2010;31/12/9999
3894GZD;8756;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;19/11/2010;31/12/9999
3899GZD;8755;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;19/11/2010;31/12/9999
9241GYR;8267;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;19/11/2010;31/12/9999
3885GZD;8742;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;17/11/2010;31/12/9999
3890GZD;8752;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;17/11/2010;31/12/9999
3892GZD;8753;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;17/11/2010;31/12/9999
3723GYP;8745;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;07/11/2010;31/12/9999
3724GYP;8743;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;07/11/2010;31/12/9999
3887GZD;8748;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;07/11/2010;31/12/9999
3888GZD;8749;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;07/11/2010;31/12/9999
3889GZD;8750;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;07/11/2010;31/12/9999
3896GZD;8751;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;07/11/2010;31/12/9999
5919GYP;8744;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;07/11/2010;31/12/9999
5920GYP;8746;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;07/11/2010;31/12/9999
5921GYP;8747;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;07/11/2010;31/12/9999
6670GYT;8264;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;07/11/2010;31/12/9999
6674GYT;8263;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;07/11/2010;31/12/9999
7694GYN;8741;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;07/11/2010;31/12/9999
9239GYR;8265;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;07/11/2010;31/12/9999
1786GYZ;8906;IVECO;Citelis Aeropuerto GNC;1;GNC;VEM;Plat. ampliada;77;06/11/2010;22/07/2011
1751GYZ;8913;IVECO;Citelis Aeropuerto GNC;1;GNC;VEM;Plat. ampliada;77;03/11/2010;28/07/2011
1756GYZ;8911;IVECO;Citelis Aeropuerto GNC;1;GNC;VEM;Plat. ampliada;77;03/11/2010;28/07/2011
1770GYZ;8909;IVECO;Citelis Aeropuerto GNC;1;GNC;VEM;Plat. ampliada;77;03/11/2010;22/07/2011
9238GYR;8262;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;03/11/2010;31/12/9999
1762GYZ;8910;IVECO;Citelis Aeropuerto GNC;1;GNC;VEM;Plat. ampliada;77;27/10/2010;28/07/2011
1767GYZ;8904;IVECO;Citelis Aeropuerto GNC;1;GNC;VEM;Plat. ampliada;77;27/10/2010;21/07/2011
1775GYZ;8908;IVECO;Citelis Aeropuerto GNC;1;GNC;VEM;Plat. ampliada;77;27/10/2010;22/07/2011
1783GYZ;8907;IVECO;Citelis Aeropuerto GNC;1;GNC;VEM;Plat. ampliada;77;27/10/2010;22/07/2011
9235GYR;8260;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;27/10/2010;31/12/9999
9236GYR;8261;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;27/10/2010;31/12/9999
9240GYR;8266;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;27/10/2010;31/12/9999
9251GYR;8259;IVECO;Citelis GNC;0;GNC;VEM;Plat. ampliada;87;27/10/2010;31/12/9999
5810GYR;8903;IVECO;Citelis Aeropuerto GNC;1;GNC;VEM;Plat. ampliada;77;22/10/2010;21/07/2011
5811GYR;8902;IVECO;Citelis Aeropuerto GNC;1;GNC;VEM;Plat. ampliada;77;22/10/2010;21/07/2011
0670GYP;8740;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;01/10/2010;31/12/9999
0671GYP;8739;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;01/10/2010;31/12/9999
5047GYN;8737;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;01/10/2010;31/12/9999
5050GYN;8736;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;01/10/2010;31/12/9999
7695GYN;8738;MAN;NL/313-F GNC ;3;GNC;VEM;Plat. ampliada;83;01/10/2010;31/12/9999
