year;Cinturon;via;bici;moto;resto
2012;Segundo Cintur¢n;Calle Doctor Esquerdo;8;285;4.065
2012;Segundo Cintur¢n;Calle Embajadores;18;158;1.924
2012;Entre el Segundo y el Tercer Cintur¢n;Paseo de Santa Mar¡a de la Cabeza;18;405;3.521
2012;Entre el Segundo y el Tercer Cintur¢n;Paseo de la Castellana;10;1.186;5.151
2012;Entre el Segundo y el Tercer Cintur¢n;Calle Bravo Murillo;17;312;2.300
2013;Interior Primer Cintur¢n;Calle Gran V¡a;15;388;2.700
2013;Interior Primer Cintur¢n;Calle San Bernardo;21;123;777
2013;Interior Primer Cintur¢n;Calle Princesa;27;299;2.508
2013;Primer Cintur¢n;Calle G‚nova;32;470;3.321
2013;Primer Cintur¢n;Paseo de El Prado;42;804;5.133
2013;Primer Cintur¢n;Calle Ronda de Valencia;41;286;2.646
2013;Entre el Primer y el Segundo Cintur¢n;Avenida Men‚ndez Pelayo;18;292;2.239
2013;Entre el Primer y el Segundo Cintur¢n;Calle Bravo Murillo;42;161;1.079
2013;Entre el Primer y el Segundo Cintur¢n;Calle Jos‚ Abascal;21;369;2.256
2013;Segundo Cintur¢n;Calle Raimundo Fern ndez Villaverde;21;687;5.658
2013;Segundo Cintur¢n;Calle Doctor Esquerdo;18;338;4.148
2013;Segundo Cintur¢n;Calle Embajadores;17;156;1.956
2013;Entre el Segundo y el Tercer Cintur¢n;Paseo de Santa Mar¡a de la Cabeza;11;368;3.584
2013;Entre el Segundo y el Tercer Cintur¢n;Paseo de la Castellana;12;1.148;4.906
2013;Entre el Segundo y el Tercer Cintur¢n;Calle Bravo Murillo;26;252;2.380
2014;Interior Primer Cintur¢n;Calle Gran V¡a;27;440;2.873
2014;Interior Primer Cintur¢n;Calle San Bernardo;15;92;635
2014;Interior Primer Cintur¢n;Calle Princesa;15;354;2.609
2014;Primer Cintur¢n;Calle G‚nova;27;528;3.089
2014;Primer Cintur¢n;Paseo de El Prado;83;795;5.093
2014;Primer Cintur¢n;Calle Ronda de Valencia;32;299;2.862
2014;Entre el Primer y el Segundo Cintur¢n;Avenida Men‚ndez Pelayo;15;233;2.049
2014;Entre el Primer y el Segundo Cintur¢n;Calle Bravo Murillo;35;174;1.098
2014;Entre el Primer y el Segundo Cintur¢n;Calle Jos‚ Abascal;23;441;2.567
2014;Segundo Cintur¢n;Calle Raimundo Fern ndez Villaverde;29;863;5.348
2014;Segundo Cintur¢n;Calle Doctor Esquerdo;27;321;3.762
2014;Segundo Cintur¢n;Calle Embajadores;24;141;1.907
2014;Entre el Segundo y el Tercer Cintur¢n;Paseo de Santa Mar¡a de la Cabeza;35;372;3.621
2014;Entre el Segundo y el Tercer Cintur¢n;Paseo de la Castellana;3;1.277;5.084
2014;Entre el Segundo y el Tercer Cintur¢n;Calle Bravo Murillo;32;284;2.288
2015;Interior Primer Cintur¢n;Calle Gran V¡a;33;473;2.949
2015;Interior Primer Cintur¢n;Calle San Bernardo;47;120;677
2015;Interior Primer Cintur¢n;Calle Princesa;30;387;2.414
2015;Primer Cintur¢n;Calle G‚nova;62;596;3.209
2015;Primer Cintur¢n;Paseo de El Prado;132;930;5.163
2015;Primer Cintur¢n;Calle Ronda de Valencia;57;350;2.658
2015;Entre el Primer y el Segundo Cintur¢n;Avenida Men‚ndez Pelayo;30;264;1.872
2015;Entre el Primer y el Segundo Cintur¢n;Calle Bravo Murillo;57;164;1.068
2015;Entre el Primer y el Segundo Cintur¢n;Calle Jos‚ Abascal;11;398;1.437
2015;Segundo Cintur¢n;Calle Raimundo Fern ndez Villaverde;24;910;5.001
2015;Segundo Cintur¢n;Calle Doctor Esquerdo;29;314;3.413
2015;Segundo Cintur¢n;Calle Embajadores;30;191;1.755
2015;Entre el Segundo y el Tercer Cintur¢n;Paseo de Santa Mar¡a de la Cabeza;23;434;3.624
2015;Entre el Segundo y el Tercer Cintur¢n;Paseo de la Castellana;5;1.277;4.977
2015;Entre el Segundo y el Tercer Cintur¢n;Calle Bravo Murillo;39;275;2.367
2016;Interior Primer Cintur¢n;Calle Gran V¡a;43;433;2.783
2016;Interior Primer Cintur¢n;Calle San Bernardo;57;168;583
2016;Interior Primer Cintur¢n;Calle Princesa;43;534;3.448
2016;Primer Cintur¢n;Calle G‚nova;56;553;2.855
2016;Primer Cintur¢n;Paseo de El Prado;106;724;3.752
2016;Primer Cintur¢n;Calle Ronda de Valencia;63;295;2.235
2016;Entre el Primer y el Segundo Cintur¢n;Avenida Men‚ndez Pelayo;46;235;1.923
2016;Entre el Primer y el Segundo Cintur¢n;Calle Bravo Murillo;62;225;1.341
2016;Entre el Primer y el Segundo Cintur¢n;Calle Jos‚ Abascal;15;527;2.653
2016;Segundo Cintur¢n;Calle Raimundo Fern ndez Villaverde;28;805;4.995
2016;Segundo Cintur¢n;Calle Doctor Esquerdo;16;286;3.474
2016;Segundo Cintur¢n;Calle Embajadores;45;104;1.474
2016;Entre el Segundo y el Tercer Cintur¢n;Paseo de Santa Mar¡a de la Cabeza;15;413;3.423
2016;Entre el Segundo y el Tercer Cintur¢n;Paseo de la Castellana;5;1.332;4.951
2016;Entre el Segundo y el Tercer Cintur¢n;Calle Bravo Murillo;24;242;2.218
2017;Interior Primer Cintur¢n;Calle Gran V¡a;49;490;2.574
2017;Interior Primer Cintur¢n;Calle San Bernardo;53;137;675
2017;Interior Primer Cintur¢n;Calle Princesa;24;430;2.659
2017;Primer Cintur¢n;Calle G‚nova;55;581;2.645
2017;Primer Cintur¢n;Paseo de El Prado;117;832;3.111
2017;Primer Cintur¢n;Calle Ronda de Valencia;61;390;2.483
2017;Entre el Primer y el Segundo Cintur¢n;Avenida Men‚ndez Pelayo;36;292;2.047
2017;Entre el Primer y el Segundo Cintur¢n;Calle Bravo Murillo;54;227;1.213
2017;Entre el Primer y el Segundo Cintur¢n;Calle Jos‚ Abascal;46;564;2.545
2017;Segundo Cintur¢n;Calle Raimundo Fern ndez Villaverde;34;849;4.607
2017;Segundo Cintur¢n;Calle Doctor Esquerdo;27;329;3.479
2017;Segundo Cintur¢n;Calle Embajadores;37;141;1.773
2017;Entre el Segundo y el Tercer Cintur¢n;Paseo de Santa Mar¡a de la Cabeza;19;387;3.690
2017;Entre el Segundo y el Tercer Cintur¢n;Paseo de la Castellana;0;1.372;4.736
2017;Entre el Segundo y el Tercer Cintur¢n;Calle Bravo Murillo;28;298;2.157
